369,175,67
370,15,67
416,123,67
434,146,67
434,152,67
436,81,67
441,128,68
441,157,68
441,164,68
441,180,68
448,4,68
448,48,68
455,194,68
455,23,69
472,94,67
489,54,68
489,101,68
543,106,68
543,28,69
550,141,68
550,59,69
586,65,69
602,33,69
602,40,69
622,113,68
623,87,68
629,75,69
629,118,69
638,135,69
638,170,69
638,185,69
643,80,69
646,7,70
648,12,70
648,17,70
648,70,70
656,151,69
687,2,70
694,49,70
694,91,70
694,96,70
694,107,70
707,176,69
707,122,70
707,129,70
715,146,70
724,155,70
724,162,70
741,193,70
746,22,71
746,27,71
752,44,71
752,54,71
817,66,71
871,34,71
877,83,70
900,101,71
1,112,71
13,190,69
13,88,71
28,140,71
